SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835811.475136, 19.111116, -14.197466, -5.531653, 2.306921, -0.678055, 3.563162, , , 
1647835811.495141, 15.147665, -11.385626, -3.705476, 2.101114, -1.183180, 4.338346, , , 
1647835811.515218, 10.358513, -8.551490, -2.210447, 1.883367, -1.392513, 4.651649, , , 
1647835811.535233, 7.476344, -7.278074, -0.169988, 1.748488, -0.578062, 4.966017, , , 
1647835811.555120, 3.328688, -5.433641, 1.084274, 1.427080, -0.119684, 4.818727, , , 
1647835811.575135, -0.667833, -4.112790, 1.950676, 0.935798, -0.132371, 4.397509, , , 
1647835811.595141, -4.607491, -2.438045, 1.960253, 0.444172, -0.435093, 3.783080, , , 
1647835811.615128, -7.562834, -1.792958, 2.475904, 0.200717, -0.132426, 3.214435, , , 
1647835811.635127, -10.344747, -1.288529, 2.853739, 0.077636, 0.493571, 2.455127, , , 
1647835811.655140, -13.032089, -0.466570, 2.472013, 0.001780, 0.904636, 1.479187, , , 
1647835811.674785, -15.423896, 0.211588, 2.012177, -0.402844, 0.784703, 0.168026, , , 
1647835811.695239, -17.972973, 0.920870, 2.248155, -1.028055, 0.505489, -1.577580, , , 
1647835811.714986, -18.221072, 1.080982, 1.380108, -1.612982, -0.104213, -3.373541, , , 
1647835811.735178, -14.964808, 0.807744, 0.686238, -2.148332, -0.466053, -4.747456, , , 
1647835811.755162, -11.839477, 1.108216, 0.796371, -2.683724, -0.331499, -5.931447, , , 
1647835811.775145, -7.300968, 1.319804, -1.372177, -2.912701, -0.396133, -6.735891, , , 
1647835811.795246, 0.137218, -0.155025, -3.731363, -3.125084, -0.400666, -7.313841, , , 
1647835811.815151, 9.732430, -1.231817, -7.695114, -3.249596, -1.083849, -6.780734, , , 
1647835811.835140, 16.982970, -4.826561, -10.873865, -3.041561, -1.966053, -4.702160, , , 
1647835811.855127, 16.533908, -8.336461, -12.895320, -2.520098, -2.051808, -3.208520, , , 
1647835811.875275, 17.015292, -9.130438, -15.432276, -1.402598, -1.727969, -2.291243, , , 
1647835811.895157, 18.850747, -11.173739, -16.232987, -0.139017, -1.428344, -1.309291, , , 
1647835811.915129, 19.888184, -12.835016, -14.468011, 0.701449, -1.010583, 0.032890, , , 
1647835811.935141, 19.535040, -13.048249, -13.583653, 1.279011, -0.650306, 1.436308, , , 
